"Household ID","Walk"
"571550290","N1-1"
"571575122","N1-1"
"569580972","N1-1"
"569605457","N1-1"
"569628958","N1-1"
"556013812","N1-2"
"556224981","N1-2"
"556313548","N1-2"
"556363953","N1-2"
"556444439","N1-2"
"556496186","N1-2"
"556514707","N1-2"
"556514841","N1-2"
"560092790","N1-2"
"560107848","N1-2"
"560143353","N1-2"
"560199113","N1-2"
"560285883","N1-2"
"560516603","N1-2"
"565144755","N1-2"
"565174637","N1-2"
"564618100","N1-2"
"564640719","N1-2"
"564702058","N1-2"
"564716715","N1-2"
"569725174","N1-2"
"560590452","N1-2"
"560769086","N1-2"
"560778165","N1-2"
"577478124","N1-2"
"577519902","N1-2"
"577690201","N1-2"
"577790668","N1-2"
"577823013","N1-2"
"577952361","N1-2"
"578054158","N1-2"
"578093046","N1-2"
"578114124","N1-2"
"569753781","N1-2"
"570153750","N1-2"
"570175155","N1-2"
"570248145","N1-2"
"570402367","N1-2"
"570574178","N1-2"
"570598769","N1-2"
"570649674","N1-2"
"570710731","N1-2"
"569761721","N1-2"
"570716857","N1-2"
"570770606","N1-2"
"570848357","N1-2"
"570883117","N1-2"
"570936341","N1-2"
"571001596","N1-2"
"571011671","N1-2"
"571093046","N1-2"
"571108502","N1-2"
"569798085","N1-2"
"571121900","N1-2"
"569807424","N1-2"
"569822669","N1-2"
"569839238","N1-2"
"569957474","N1-2"
"570093168","N1-2"
"570118363","N1-2"
"580354444","N1-2"
"580355336","N1-2"
"578871919","N1-3"
"578877214","N1-3"
"578929909","N1-3"
"548028169","N1-3"
"548252834","N1-3"
"548416621","N1-3"
"569713174","N1-3"
"548527448","N1-3"
"548078267","N1-3"
"548108186","N1-3"
"548136589","N1-3"
"548224695","N1-3"
"548966553","N1-3"
"549135981","N1-3"
"549341177","N1-3"
"549390354","N1-3"
"549393635","N1-3"
"549398099","N1-3"
"548460156","N1-3"
"577458860","N1-3"
"548895461","N1-3"
"548571017","N1-3"
"548750370","N1-3"
"548785718","N1-3"
"548802014","N1-3"
"548862934","N1-3"
"548579278","N1-3"
"548585012","N1-3"
"548649593","N1-3"
"548670472","N1-3"
"578957845","N1-3"
"578978614","N1-3"
"579055043","N1-3"
"579066634","N1-3"
"579112023","N1-3"
"579155756","N1-3"
"582744109","N1-3"
"582481969","N1-3"
"582835687","N1-3"
"582902274","N1-3"
"582535483","N1-3"
"582951379","N1-3"
"582540219","N1-3"
"582555416","N1-3"
"582637087","N1-3"
"581829022","N1-3"
"582346247","N1-3"
"582660838","N1-3"
"582729768","N1-3"
"584488906","N1-3"
"584508806","N1-3"
"584776853","N1-3"
"584795779","N1-3"
"584843351","N1-3"
"584901469","N1-3"
"584942514","N1-3"
"584961939","N1-3"
"585046626","N1-3"
"585108096","N1-3"
"585121196","N1-3"
"585138438","N1-3"
"585173901","N1-3"
"548440084","N1-3"
"548443354","N1-3"
"548525330","N1-3"
"547873256","N1-4"
"547912157","N1-4"
"547987803","N1-4"
"565499631","N1-4"
"580431461","N1-4"
"580453040","N1-4"
"559809199","N1-4"
"559869145","N1-4"
"559955994","N1-4"
"560074261","N1-4"
"559319255","N1-4"
"559190322","N1-4"
"559789840","N1-4"
"578184542","N1-4"
"578426692","N1-4"
"578212776","N1-4"
"578234835","N1-4"
"578427116","N1-4"
"578237893","N1-4"
"578276138","N1-4"
"578470406","N1-4"
"578366271","N1-4"
"578522736","N1-4"
"578568729","N1-4"
"578666150","N1-4"
"578703125","N1-4"
"578735535","N1-4"
"578794572","N1-4"
"578834024","N1-4"
"578839395","N1-4"
"578865442","N1-4"
"579209281","N1-4"
"579265010","N1-4"
"581237368","N1-4"
"583224134","N1-4"
"581270876","N1-4"
"583380942","N1-4"
"583502939","N1-4"
"581341267","N1-4"
"581550120","N1-4"
"581553972","N1-4"
"581581179","N1-4"
"581669313","N1-4"
"583595236","N1-4"
"583615668","N1-4"
"581686712","N1-4"
"583629005","N1-4"
"581701378","N1-4"
"583641421","N1-4"
"583780577","N1-4"
"583968111","N1-4"
"581823085","N1-4"
"581924859","N1-4"
"581976232","N1-4"
"584053044","N1-4"
"582296904","N1-4"
"583001719","N1-4"
"580882140","N1-4"
"584083910","N1-4"
"583052669","N1-4"
"582246524","N1-4"
"582450340","N1-4"
"580887915","N1-4"
"584159191","N1-4"
